#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origGroup	Sex	Time	DayID	DPW	Description
F3D000	NA	NA	NA	F3D0_S188_L001_R1_001.fastq.gz	F3D0_S188_L001_R2_001.fastq.gz	F3D0	Female	Early	D000	0	iMAPtrainingSet
F3D006	NA	NA	NA	F3D6_S194_L001_R1_001.fastq.gz	F3D6_S194_L001_R2_001.fastq.gz	F3D6	Female	Early	D006	6	iMAPtrainingSet
F3D142	NA	NA	NA	F3D142_S208_L001_R1_001.fastq.gz	F3D142_S208_L001_R2_001.fastq.gz	F3D142	Female	Late	D142	142	iMAPtrainingSet
F3D143	NA	NA	NA	F3D143_S209_L001_R1_001.fastq.gz	F3D143_S209_L001_R2_001.fastq.gz	F3D143	Female	Late	D143	143	iMAPtrainingSet
M1D000	NA	NA	NA	M1D0_S1_L001_R1_001.fastq.gz	M1D0_S1_L001_R2_001.fastq.gz	M1D0	Male	Early	D000	0	iMAPtrainingSet
M1D006	NA	NA	NA	M1D6_S7_L001_R1_001.fastq.gz	M1D6_S7_L001_R2_001.fastq.gz	M1D6	Male	Early	D006	6	iMAPtrainingSet
M1D142	NA	NA	NA	M1D142_S21_L001_R1_001.fastq.gz	M1D142_S21_L001_R2_001.fastq.gz	M1D142	Male	Late	D142	142	iMAPtrainingSet
M1D143	NA	NA	NA	M1D143_S22_L001_R1_001.fastq.gz	M1D143_S22_L001_R2_001.fastq.gz	M1D143	Male	Late	D143	143	iMAPtrainingSet
