taxon	F3D001	F3D006	F3D142	F3D143	M1D001	M1D006	M1D142	M1D143
Actinobacteria	4	4	26	10	1	4	25	85
Bacteroidetes	1712	4180	1912	1737	3826	8893	5563	7564
Deinococcus-Thermus	0	0	2	1	0	0	0	0
Firmicutes	2808	2268	549	703	1692	3351	1656	850
Patescibacteria	25	15	3	3	1	3	0	0
Proteobacteria	10	9	2	1	0	3	0	2
Tenericutes	91	68	8	10	4	14	1	1
Verrucomicrobia	0	0	0	0	37	5	23	103
