taxon	F3D001	F3D006	F3D142	F3D143	M1D001	M1D006	M1D142	M1D143
Actinobacteria	0	0	25	7	0	0	19	82
Bacilli	250	459	129	108	67	33	258	478
Bacteroidia	1712	4180	1912	1737	3826	8893	5563	7564
Clostridia	2554	1807	372	560	1621	3316	1359	280
Coriobacteriia	1	2	1	1	0	1	0	1
Deinococci	0	0	2	1	0	0	0	0
Erysipelotrichia	0	0	47	35	2	0	36	87
Gammaproteobacteria	10	9	2	1	0	3	0	2
Mollicutes	91	68	8	10	4	14	1	1
Saccharimonadia	25	15	3	3	1	3	0	0
Verrucomicrobiae	0	0	0	0	37	5	23	103
