#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origID	Sex	Time	DayID	DPW	Description
F6D149	NA	NA	NA	F6D149_S312_L001_R1_001.fastq.gz	F6D149_S312_L001_R2_001.fastq.gz	F6D149	Female	Late	D149	149	iMAPcasestudySet
F6D150	NA	NA	NA	F6D150_S313_L001_R1_001.fastq.gz	F6D150_S313_L001_R2_001.fastq.gz	F6D150	Female	Late	D150	150	iMAPcasestudySet
F6D165	NA	NA	NA	F6D165_S314_L001_R1_001.fastq.gz	F6D165_S314_L001_R2_001.fastq.gz	F6D165	Female	Late	D165	165	iMAPcasestudySet
F6D364	NA	NA	NA	F6D364_S315_L001_R1_001.fastq.gz	F6D364_S315_L001_R2_001.fastq.gz	F6D364	Female	Late	D364	364	iMAPcasestudySet
F7D000	NA	NA	NA	F7D0_S316_L001_R1_001.fastq.gz	F7D0_S316_L001_R2_001.fastq.gz	F7D0	Female	Early	D000	0	iMAPcasestudySet
F7D001	NA	NA	NA	F7D1_S317_L001_R1_001.fastq.gz	F7D1_S317_L001_R2_001.fastq.gz	F7D1	Female	Early	D001	1	iMAPcasestudySet
F7D002	NA	NA	NA	F7D2_S318_L001_R1_001.fastq.gz	F7D2_S318_L001_R2_001.fastq.gz	F7D2	Female	Early	D002	2	iMAPcasestudySet
F7D003	NA	NA	NA	F7D3_S319_L001_R1_001.fastq.gz	F7D3_S319_L001_R2_001.fastq.gz	F7D3	Female	Early	D003	3	iMAPcasestudySet
F7D004	NA	NA	NA	F7D4_S320_L001_R1_001.fastq.gz	F7D4_S320_L001_R2_001.fastq.gz	F7D4	Female	Early	D004	4	iMAPcasestudySet
F7D005	NA	NA	NA	F7D5_S321_L001_R1_001.fastq.gz	F7D5_S321_L001_R2_001.fastq.gz	F7D5	Female	Early	D005	5	iMAPcasestudySet
F7D006	NA	NA	NA	F7D6_S322_L001_R1_001.fastq.gz	F7D6_S322_L001_R2_001.fastq.gz	F7D6	Female	Early	D006	6	iMAPcasestudySet
F7D007	NA	NA	NA	F7D7_S323_L001_R1_001.fastq.gz	F7D7_S323_L001_R2_001.fastq.gz	F7D7	Female	Early	D007	7	iMAPcasestudySet
F7D009	NA	NA	NA	F7D9_S324_L001_R1_001.fastq.gz	F7D9_S324_L001_R2_001.fastq.gz	F7D9	Female	Early	D009	9	iMAPcasestudySet
F7D011	NA	NA	NA	F7D11_S325_L001_R1_001.fastq.gz	F7D11_S325_L001_R2_001.fastq.gz	F7D11	Female	Early	D011	11	iMAPcasestudySet
F7D013	NA	NA	NA	F7D13_S326_L001_R1_001.fastq.gz	F7D13_S326_L001_R2_001.fastq.gz	F7D13	Female	Early	D013	13	iMAPcasestudySet
F7D015	NA	NA	NA	F7D15_S327_L001_R1_001.fastq.gz	F7D15_S327_L001_R2_001.fastq.gz	F7D15	Female	Early	D015	15	iMAPcasestudySet
F7D025	NA	NA	NA	F7D25_S328_L001_R1_001.fastq.gz	F7D25_S328_L001_R2_001.fastq.gz	F7D25	Female	Early	D025	25	iMAPcasestudySet
F7D045	NA	NA	NA	F7D45_S329_L001_R1_001.fastq.gz	F7D45_S329_L001_R2_001.fastq.gz	F7D45	Female	Early	D045	45	iMAPcasestudySet
F7D065	NA	NA	NA	F7D65_S330_L001_R1_001.fastq.gz	F7D65_S330_L001_R2_001.fastq.gz	F7D65	Female	Early	D065	65	iMAPcasestudySet
F7D124	NA	NA	NA	F7D124_S331_L001_R1_001.fastq.gz	F7D124_S331_L001_R2_001.fastq.gz	F7D124	Female	Late	D124	124	iMAPcasestudySet
F7D141	NA	NA	NA	F7D141_S332_L001_R1_001.fastq.gz	F7D141_S332_L001_R2_001.fastq.gz	F7D141	Female	Late	D141	141	iMAPcasestudySet
F7D142	NA	NA	NA	F7D142_S333_L001_R1_001.fastq.gz	F7D142_S333_L001_R2_001.fastq.gz	F7D142	Female	Late	D142	142	iMAPcasestudySet
F7D143	NA	NA	NA	F7D143_S334_L001_R1_001.fastq.gz	F7D143_S334_L001_R2_001.fastq.gz	F7D143	Female	Late	D143	143	iMAPcasestudySet
F7D144	NA	NA	NA	F7D144_S335_L001_R1_001.fastq.gz	F7D144_S335_L001_R2_001.fastq.gz	F7D144	Female	Late	D144	144	iMAPcasestudySet
F7D145	NA	NA	NA	F7D145_S336_L001_R1_001.fastq.gz	F7D145_S336_L001_R2_001.fastq.gz	F7D145	Female	Late	D145	145	iMAPcasestudySet
F7D146	NA	NA	NA	F7D146_S337_L001_R1_001.fastq.gz	F7D146_S337_L001_R2_001.fastq.gz	F7D146	Female	Late	D146	146	iMAPcasestudySet
F7D147	NA	NA	NA	F7D147_S338_L001_R1_001.fastq.gz	F7D147_S338_L001_R2_001.fastq.gz	F7D147	Female	Late	D147	147	iMAPcasestudySet
F7D148	NA	NA	NA	F7D148_S339_L001_R1_001.fastq.gz	F7D148_S339_L001_R2_001.fastq.gz	F7D148	Female	Late	D148	148	iMAPcasestudySet
F7D149	NA	NA	NA	F7D149_S340_L001_R1_001.fastq.gz	F7D149_S340_L001_R2_001.fastq.gz	F7D149	Female	Late	D149	149	iMAPcasestudySet
F7D150	NA	NA	NA	F7D150_S341_L001_R1_001.fastq.gz	F7D150_S341_L001_R2_001.fastq.gz	F7D150	Female	Late	D150	150	iMAPcasestudySet
F8D000	NA	NA	NA	F8D0_S342_L001_R1_001.fastq.gz	F8D0_S342_L001_R2_001.fastq.gz	F8D0	Female	Early	D000	0	iMAPcasestudySet
F8D001	NA	NA	NA	F8D1_S343_L001_R1_001.fastq.gz	F8D1_S343_L001_R2_001.fastq.gz	F8D1	Female	Early	D001	1	iMAPcasestudySet
F8D002	NA	NA	NA	F8D2_S344_L001_R1_001.fastq.gz	F8D2_S344_L001_R2_001.fastq.gz	F8D2	Female	Early	D002	2	iMAPcasestudySet
F8D003	NA	NA	NA	F8D3_S345_L001_R1_001.fastq.gz	F8D3_S345_L001_R2_001.fastq.gz	F8D3	Female	Early	D003	3	iMAPcasestudySet
F8D004	NA	NA	NA	F8D4_S346_L001_R1_001.fastq.gz	F8D4_S346_L001_R2_001.fastq.gz	F8D4	Female	Early	D004	4	iMAPcasestudySet
F8D005	NA	NA	NA	F8D5_S347_L001_R1_001.fastq.gz	F8D5_S347_L001_R2_001.fastq.gz	F8D5	Female	Early	D005	5	iMAPcasestudySet
F8D006	NA	NA	NA	F8D6_S348_L001_R1_001.fastq.gz	F8D6_S348_L001_R2_001.fastq.gz	F8D6	Female	Early	D006	6	iMAPcasestudySet
F8D007	NA	NA	NA	F8D7_S349_L001_R1_001.fastq.gz	F8D7_S349_L001_R2_001.fastq.gz	F8D7	Female	Early	D007	7	iMAPcasestudySet
F8D008	NA	NA	NA	F8D8_S350_L001_R1_001.fastq.gz	F8D8_S350_L001_R2_001.fastq.gz	F8D8	Female	Early	D008	8	iMAPcasestudySet
F8D009	NA	NA	NA	F8D9_S351_L001_R1_001.fastq.gz	F8D9_S351_L001_R2_001.fastq.gz	F8D9	Female	Early	D009	9	iMAPcasestudySet
F8D025	NA	NA	NA	F8D25_S352_L001_R1_001.fastq.gz	F8D25_S352_L001_R2_001.fastq.gz	F8D25	Female	Early	D025	25	iMAPcasestudySet
F8D045	NA	NA	NA	F8D45_S353_L001_R1_001.fastq.gz	F8D45_S353_L001_R2_001.fastq.gz	F8D45	Female	Early	D045	45	iMAPcasestudySet
F8D065	NA	NA	NA	F8D65_S354_L001_R1_001.fastq.gz	F8D65_S354_L001_R2_001.fastq.gz	F8D65	Female	Early	D065	65	iMAPcasestudySet
F8D125	NA	NA	NA	F8D125_S355_L001_R1_001.fastq.gz	F8D125_S355_L001_R2_001.fastq.gz	F8D125	Female	Late	D125	125	iMAPcasestudySet
F8D141	NA	NA	NA	F8D141_S356_L001_R1_001.fastq.gz	F8D141_S356_L001_R2_001.fastq.gz	F8D141	Female	Late	D141	141	iMAPcasestudySet
F8D142	NA	NA	NA	F8D142_S357_L001_R1_001.fastq.gz	F8D142_S357_L001_R2_001.fastq.gz	F8D142	Female	Late	D142	142	iMAPcasestudySet
F8D143	NA	NA	NA	F8D143_S358_L001_R1_001.fastq.gz	F8D143_S358_L001_R2_001.fastq.gz	F8D143	Female	Late	D143	143	iMAPcasestudySet
F8D144	NA	NA	NA	F8D144_S359_L001_R1_001.fastq.gz	F8D144_S359_L001_R2_001.fastq.gz	F8D144	Female	Late	D144	144	iMAPcasestudySet
F8D145	NA	NA	NA	F8D145_S360_L001_R1_001.fastq.gz	F8D145_S360_L001_R2_001.fastq.gz	F8D145	Female	Late	D145	145	iMAPcasestudySet
F8D146	NA	NA	NA	F8D146_S361_L001_R1_001.fastq.gz	F8D146_S361_L001_R2_001.fastq.gz	F8D146	Female	Late	D146	146	iMAPcasestudySet
F8D147	NA	NA	NA	F8D147_S362_L001_R1_001.fastq.gz	F8D147_S362_L001_R2_001.fastq.gz	F8D147	Female	Late	D147	147	iMAPcasestudySet
F8D148	NA	NA	NA	F8D148_S363_L001_R1_001.fastq.gz	F8D148_S363_L001_R2_001.fastq.gz	F8D148	Female	Late	D148	148	iMAPcasestudySet
F8D149	NA	NA	NA	F8D149_S364_L001_R1_001.fastq.gz	F8D149_S364_L001_R2_001.fastq.gz	F8D149	Female	Late	D149	149	iMAPcasestudySet
F8D150	NA	NA	NA	F8D150_S365_L001_R1_001.fastq.gz	F8D150_S365_L001_R2_001.fastq.gz	F8D150	Female	Late	D150	150	iMAPcasestudySet
M1D000	NA	NA	NA	M1D0_S1_L001_R1_001.fastq.gz	M1D0_S1_L001_R2_001.fastq.gz	M1D0	Male	Early	D000	0	iMAPcasestudySet
M1D001	NA	NA	NA	M1D1_S2_L001_R1_001.fastq.gz	M1D1_S2_L001_R2_001.fastq.gz	M1D1	Male	Early	D001	1	iMAPcasestudySet
M1D002	NA	NA	NA	M1D2_S3_L001_R1_001.fastq.gz	M1D2_S3_L001_R2_001.fastq.gz	M1D2	Male	Early	D002	2	iMAPcasestudySet
M1D003	NA	NA	NA	M1D3_S4_L001_R1_001.fastq.gz	M1D3_S4_L001_R2_001.fastq.gz	M1D3	Male	Early	D003	3	iMAPcasestudySet
M1D004	NA	NA	NA	M1D4_S5_L001_R1_001.fastq.gz	M1D4_S5_L001_R2_001.fastq.gz	M1D4	Male	Early	D004	4	iMAPcasestudySet
M1D005	NA	NA	NA	M1D5_S6_L001_R1_001.fastq.gz	M1D5_S6_L001_R2_001.fastq.gz	M1D5	Male	Early	D005	5	iMAPcasestudySet
M1D006	NA	NA	NA	M1D6_S7_L001_R1_001.fastq.gz	M1D6_S7_L001_R2_001.fastq.gz	M1D6	Male	Early	D006	6	iMAPcasestudySet
M1D007	NA	NA	NA	M1D7_S8_L001_R1_001.fastq.gz	M1D7_S8_L001_R2_001.fastq.gz	M1D7	Male	Early	D007	7	iMAPcasestudySet
M1D008	NA	NA	NA	M1D8_S9_L001_R1_001.fastq.gz	M1D8_S9_L001_R2_001.fastq.gz	M1D8	Male	Early	D008	8	iMAPcasestudySet
M1D009	NA	NA	NA	M1D9_S10_L001_R1_001.fastq.gz	M1D9_S10_L001_R2_001.fastq.gz	M1D9	Male	Early	D009	9	iMAPcasestudySet
M1D011	NA	NA	NA	M1D11_S11_L001_R1_001.fastq.gz	M1D11_S11_L001_R2_001.fastq.gz	M1D11	Male	Early	D011	11	iMAPcasestudySet
M1D013	NA	NA	NA	M1D13_S12_L001_R1_001.fastq.gz	M1D13_S12_L001_R2_001.fastq.gz	M1D13	Male	Early	D013	13	iMAPcasestudySet
M1D015	NA	NA	NA	M1D15_S13_L001_R1_001.fastq.gz	M1D15_S13_L001_R2_001.fastq.gz	M1D15	Male	Early	D015	15	iMAPcasestudySet
M1D017	NA	NA	NA	M1D17_S14_L001_R1_001.fastq.gz	M1D17_S14_L001_R2_001.fastq.gz	M1D17	Male	Early	D017	17	iMAPcasestudySet
M1D019	NA	NA	NA	M1D19_S15_L001_R1_001.fastq.gz	M1D19_S15_L001_R2_001.fastq.gz	M1D19	Male	Early	D019	19	iMAPcasestudySet
M1D021	NA	NA	NA	M1D21_S16_L001_R1_001.fastq.gz	M1D21_S16_L001_R2_001.fastq.gz	M1D21	Male	Early	D021	21	iMAPcasestudySet
M1D025	NA	NA	NA	M1D25_S17_L001_R1_001.fastq.gz	M1D25_S17_L001_R2_001.fastq.gz	M1D25	Male	Early	D025	25	iMAPcasestudySet
M1D065	NA	NA	NA	M1D65_S18_L001_R1_001.fastq.gz	M1D65_S18_L001_R2_001.fastq.gz	M1D65	Male	Early	D065	65	iMAPcasestudySet
M1D125	NA	NA	NA	M1D125_S19_L001_R1_001.fastq.gz	M1D125_S19_L001_R2_001.fastq.gz	M1D125	Male	Late	D125	125	iMAPcasestudySet
M1D141	NA	NA	NA	M1D141_S20_L001_R1_001.fastq.gz	M1D141_S20_L001_R2_001.fastq.gz	M1D141	Male	Late	D141	141	iMAPcasestudySet
M1D142	NA	NA	NA	M1D142_S21_L001_R1_001.fastq.gz	M1D142_S21_L001_R2_001.fastq.gz	M1D142	Male	Late	D142	142	iMAPcasestudySet
M1D143	NA	NA	NA	M1D143_S22_L001_R1_001.fastq.gz	M1D143_S22_L001_R2_001.fastq.gz	M1D143	Male	Late	D143	143	iMAPcasestudySet
M1D144	NA	NA	NA	M1D144_S23_L001_R1_001.fastq.gz	M1D144_S23_L001_R2_001.fastq.gz	M1D144	Male	Late	D144	144	iMAPcasestudySet
M1D145	NA	NA	NA	M1D145_S24_L001_R1_001.fastq.gz	M1D145_S24_L001_R2_001.fastq.gz	M1D145	Male	Late	D145	145	iMAPcasestudySet
M1D146	NA	NA	NA	M1D146_S25_L001_R1_001.fastq.gz	M1D146_S25_L001_R2_001.fastq.gz	M1D146	Male	Late	D146	146	iMAPcasestudySet
M1D147	NA	NA	NA	M1D147_S26_L001_R1_001.fastq.gz	M1D147_S26_L001_R2_001.fastq.gz	M1D147	Male	Late	D147	147	iMAPcasestudySet
M1D148	NA	NA	NA	M1D148_S27_L001_R1_001.fastq.gz	M1D148_S27_L001_R2_001.fastq.gz	M1D148	Male	Late	D148	148	iMAPcasestudySet
M1D149	NA	NA	NA	M1D149_S28_L001_R1_001.fastq.gz	M1D149_S28_L001_R2_001.fastq.gz	M1D149	Male	Late	D149	149	iMAPcasestudySet
M1D364	NA	NA	NA	M1D364_S29_L001_R1_001.fastq.gz	M1D364_S29_L001_R2_001.fastq.gz	M1D364	Male	Late	D364	364	iMAPcasestudySet
M2D000	NA	NA	NA	M2D0_S30_L001_R1_001.fastq.gz	M2D0_S30_L001_R2_001.fastq.gz	M2D0	Male	Early	D000	0	iMAPcasestudySet
M2D001	NA	NA	NA	M2D1_S31_L001_R1_001.fastq.gz	M2D1_S31_L001_R2_001.fastq.gz	M2D1	Male	Early	D001	1	iMAPcasestudySet
M2D002	NA	NA	NA	M2D2_S32_L001_R1_001.fastq.gz	M2D2_S32_L001_R2_001.fastq.gz	M2D2	Male	Early	D002	2	iMAPcasestudySet
M2D003	NA	NA	NA	M2D3_S33_L001_R1_001.fastq.gz	M2D3_S33_L001_R2_001.fastq.gz	M2D3	Male	Early	D003	3	iMAPcasestudySet
M2D004	NA	NA	NA	M2D4_S34_L001_R1_001.fastq.gz	M2D4_S34_L001_R2_001.fastq.gz	M2D4	Male	Early	D004	4	iMAPcasestudySet
M2D005	NA	NA	NA	M2D5_S35_L001_R1_001.fastq.gz	M2D5_S35_L001_R2_001.fastq.gz	M2D5	Male	Early	D005	5	iMAPcasestudySet
M2D006	NA	NA	NA	M2D6_S36_L001_R1_001.fastq.gz	M2D6_S36_L001_R2_001.fastq.gz	M2D6	Male	Early	D006	6	iMAPcasestudySet
M2D007	NA	NA	NA	M2D7_S37_L001_R1_001.fastq.gz	M2D7_S37_L001_R2_001.fastq.gz	M2D7	Male	Early	D007	7	iMAPcasestudySet
M2D008	NA	NA	NA	M2D8_S38_L001_R1_001.fastq.gz	M2D8_S38_L001_R2_001.fastq.gz	M2D8	Male	Early	D008	8	iMAPcasestudySet
M2D009	NA	NA	NA	M2D9_S39_L001_R1_001.fastq.gz	M2D9_S39_L001_R2_001.fastq.gz	M2D9	Male	Early	D009	9	iMAPcasestudySet
M2D011	NA	NA	NA	M2D11_S40_L001_R1_001.fastq.gz	M2D11_S40_L001_R2_001.fastq.gz	M2D11	Male	Early	D011	11	iMAPcasestudySet
M2D013	NA	NA	NA	M2D13_S41_L001_R1_001.fastq.gz	M2D13_S41_L001_R2_001.fastq.gz	M2D13	Male	Early	D013	13	iMAPcasestudySet
M2D015	NA	NA	NA	M2D15_S42_L001_R1_001.fastq.gz	M2D15_S42_L001_R2_001.fastq.gz	M2D15	Male	Early	D015	15	iMAPcasestudySet
M2D017	NA	NA	NA	M2D17_S43_L001_R1_001.fastq.gz	M2D17_S43_L001_R2_001.fastq.gz	M2D17	Male	Early	D017	17	iMAPcasestudySet
M2D019	NA	NA	NA	M2D19_S44_L001_R1_001.fastq.gz	M2D19_S44_L001_R2_001.fastq.gz	M2D19	Male	Early	D019	19	iMAPcasestudySet
M2D021	NA	NA	NA	M2D21_S45_L001_R1_001.fastq.gz	M2D21_S45_L001_R2_001.fastq.gz	M2D21	Male	Early	D021	21	iMAPcasestudySet
M2D025	NA	NA	NA	M2D25_S46_L001_R1_001.fastq.gz	M2D25_S46_L001_R2_001.fastq.gz	M2D25	Male	Early	D025	25	iMAPcasestudySet
M2D065	NA	NA	NA	M2D65_S47_L001_R1_001.fastq.gz	M2D65_S47_L001_R2_001.fastq.gz	M2D65	Male	Early	D065	65	iMAPcasestudySet
M2D125	NA	NA	NA	M2D125_S48_L001_R1_001.fastq.gz	M2D125_S48_L001_R2_001.fastq.gz	M2D125	Male	Late	D125	125	iMAPcasestudySet
M2D141	NA	NA	NA	M2D141_S49_L001_R1_001.fastq.gz	M2D141_S49_L001_R2_001.fastq.gz	M2D141	Male	Late	D141	141	iMAPcasestudySet
M2D142	NA	NA	NA	M2D142_S50_L001_R1_001.fastq.gz	M2D142_S50_L001_R2_001.fastq.gz	M2D142	Male	Late	D142	142	iMAPcasestudySet
M2D143	NA	NA	NA	M2D143_S51_L001_R1_001.fastq.gz	M2D143_S51_L001_R2_001.fastq.gz	M2D143	Male	Late	D143	143	iMAPcasestudySet
M2D144	NA	NA	NA	M2D144_S52_L001_R1_001.fastq.gz	M2D144_S52_L001_R2_001.fastq.gz	M2D144	Male	Late	D144	144	iMAPcasestudySet
M2D145	NA	NA	NA	M2D145_S53_L001_R1_001.fastq.gz	M2D145_S53_L001_R2_001.fastq.gz	M2D145	Male	Late	D145	145	iMAPcasestudySet
M2D146	NA	NA	NA	M2D146_S54_L001_R1_001.fastq.gz	M2D146_S54_L001_R2_001.fastq.gz	M2D146	Male	Late	D146	146	iMAPcasestudySet
M2D147	NA	NA	NA	M2D147_S55_L001_R1_001.fastq.gz	M2D147_S55_L001_R2_001.fastq.gz	M2D147	Male	Late	D147	147	iMAPcasestudySet
M2D148	NA	NA	NA	M2D148_S56_L001_R1_001.fastq.gz	M2D148_S56_L001_R2_001.fastq.gz	M2D148	Male	Late	D148	148	iMAPcasestudySet
M2D149	NA	NA	NA	M2D149_S57_L001_R1_001.fastq.gz	M2D149_S57_L001_R2_001.fastq.gz	M2D149	Male	Late	D149	149	iMAPcasestudySet
M2D150	NA	NA	NA	M2D150_S58_L001_R1_001.fastq.gz	M2D150_S58_L001_R2_001.fastq.gz	M2D150	Male	Late	D150	150	iMAPcasestudySet
M2D364	NA	NA	NA	M2D364_S59_L001_R1_001.fastq.gz	M2D364_S59_L001_R2_001.fastq.gz	M2D364	Male	Late	D364	364	iMAPcasestudySet
M3D000	NA	NA	NA	M3D0_S60_L001_R1_001.fastq.gz	M3D0_S60_L001_R2_001.fastq.gz	M3D0	Male	Early	D000	0	iMAPcasestudySet
M3D001	NA	NA	NA	M3D1_S61_L001_R1_001.fastq.gz	M3D1_S61_L001_R2_001.fastq.gz	M3D1	Male	Early	D001	1	iMAPcasestudySet
M3D002	NA	NA	NA	M3D2_S62_L001_R1_001.fastq.gz	M3D2_S62_L001_R2_001.fastq.gz	M3D2	Male	Early	D002	2	iMAPcasestudySet
M3D003	NA	NA	NA	M3D3_S63_L001_R1_001.fastq.gz	M3D3_S63_L001_R2_001.fastq.gz	M3D3	Male	Early	D003	3	iMAPcasestudySet
M3D004	NA	NA	NA	M3D4_S64_L001_R1_001.fastq.gz	M3D4_S64_L001_R2_001.fastq.gz	M3D4	Male	Early	D004	4	iMAPcasestudySet
M3D005	NA	NA	NA	M3D5_S65_L001_R1_001.fastq.gz	M3D5_S65_L001_R2_001.fastq.gz	M3D5	Male	Early	D005	5	iMAPcasestudySet
M3D006	NA	NA	NA	M3D6_S66_L001_R1_001.fastq.gz	M3D6_S66_L001_R2_001.fastq.gz	M3D6	Male	Early	D006	6	iMAPcasestudySet
M3D007	NA	NA	NA	M3D7_S67_L001_R1_001.fastq.gz	M3D7_S67_L001_R2_001.fastq.gz	M3D7	Male	Early	D007	7	iMAPcasestudySet
M3D008	NA	NA	NA	M3D8_S68_L001_R1_001.fastq.gz	M3D8_S68_L001_R2_001.fastq.gz	M3D8	Male	Early	D008	8	iMAPcasestudySet
M3D009	NA	NA	NA	M3D9_S69_L001_R1_001.fastq.gz	M3D9_S69_L001_R2_001.fastq.gz	M3D9	Male	Early	D009	9	iMAPcasestudySet
M3D011	NA	NA	NA	M3D11_S70_L001_R1_001.fastq.gz	M3D11_S70_L001_R2_001.fastq.gz	M3D11	Male	Early	D011	11	iMAPcasestudySet
M3D013	NA	NA	NA	M3D13_S71_L001_R1_001.fastq.gz	M3D13_S71_L001_R2_001.fastq.gz	M3D13	Male	Early	D013	13	iMAPcasestudySet
M3D015	NA	NA	NA	M3D15_S72_L001_R1_001.fastq.gz	M3D15_S72_L001_R2_001.fastq.gz	M3D15	Male	Early	D015	15	iMAPcasestudySet
M3D017	NA	NA	NA	M3D17_S73_L001_R1_001.fastq.gz	M3D17_S73_L001_R2_001.fastq.gz	M3D17	Male	Early	D017	17	iMAPcasestudySet
M3D019	NA	NA	NA	M3D19_S74_L001_R1_001.fastq.gz	M3D19_S74_L001_R2_001.fastq.gz	M3D19	Male	Early	D019	19	iMAPcasestudySet
M3D021	NA	NA	NA	M3D21_S75_L001_R1_001.fastq.gz	M3D21_S75_L001_R2_001.fastq.gz	M3D21	Male	Early	D021	21	iMAPcasestudySet
M3D025	NA	NA	NA	M3D25_S76_L001_R1_001.fastq.gz	M3D25_S76_L001_R2_001.fastq.gz	M3D25	Male	Early	D025	25	iMAPcasestudySet
M3D045	NA	NA	NA	M3D45_S77_L001_R1_001.fastq.gz	M3D45_S77_L001_R2_001.fastq.gz	M3D45	Male	Early	D045	45	iMAPcasestudySet
M3D065	NA	NA	NA	M3D65_S78_L001_R1_001.fastq.gz	M3D65_S78_L001_R2_001.fastq.gz	M3D65	Male	Early	D065	65	iMAPcasestudySet
M3D125	NA	NA	NA	M3D125_S79_L001_R1_001.fastq.gz	M3D125_S79_L001_R2_001.fastq.gz	M3D125	Male	Late	D125	125	iMAPcasestudySet
M3D141	NA	NA	NA	M3D141_S80_L001_R1_001.fastq.gz	M3D141_S80_L001_R2_001.fastq.gz	M3D141	Male	Late	D141	141	iMAPcasestudySet
M3D142	NA	NA	NA	M3D142_S81_L001_R1_001.fastq.gz	M3D142_S81_L001_R2_001.fastq.gz	M3D142	Male	Late	D142	142	iMAPcasestudySet
M3D143	NA	NA	NA	M3D143_S82_L001_R1_001.fastq.gz	M3D143_S82_L001_R2_001.fastq.gz	M3D143	Male	Late	D143	143	iMAPcasestudySet
M3D144	NA	NA	NA	M3D144_S83_L001_R1_001.fastq.gz	M3D144_S83_L001_R2_001.fastq.gz	M3D144	Male	Late	D144	144	iMAPcasestudySet
M3D145	NA	NA	NA	M3D145_S84_L001_R1_001.fastq.gz	M3D145_S84_L001_R2_001.fastq.gz	M3D145	Male	Late	D145	145	iMAPcasestudySet
M3D146	NA	NA	NA	M3D146_S85_L001_R1_001.fastq.gz	M3D146_S85_L001_R2_001.fastq.gz	M3D146	Male	Late	D146	146	iMAPcasestudySet
M3D147	NA	NA	NA	M3D147_S86_L001_R1_001.fastq.gz	M3D147_S86_L001_R2_001.fastq.gz	M3D147	Male	Late	D147	147	iMAPcasestudySet
M3D148	NA	NA	NA	M3D148_S87_L001_R1_001.fastq.gz	M3D148_S87_L001_R2_001.fastq.gz	M3D148	Male	Late	D148	148	iMAPcasestudySet
M3D149	NA	NA	NA	M3D149_S88_L001_R1_001.fastq.gz	M3D149_S88_L001_R2_001.fastq.gz	M3D149	Male	Late	D149	149	iMAPcasestudySet
M3D150	NA	NA	NA	M3D150_S89_L001_R1_001.fastq.gz	M3D150_S89_L001_R2_001.fastq.gz	M3D150	Male	Late	D150	150	iMAPcasestudySet
M3D175	NA	NA	NA	M3D175_S90_L001_R1_001.fastq.gz	M3D175_S90_L001_R2_001.fastq.gz	M3D175	Male	Late	D175	175	iMAPcasestudySet
M3D364	NA	NA	NA	M3D364_S91_L001_R1_001.fastq.gz	M3D364_S91_L001_R2_001.fastq.gz	M3D364	Male	Late	D364	364	iMAPcasestudySet
M4D000	NA	NA	NA	M4D0_S92_L001_R1_001.fastq.gz	M4D0_S92_L001_R2_001.fastq.gz	M4D0	Male	Early	D000	0	iMAPcasestudySet
M4D001	NA	NA	NA	M4D1_S93_L001_R1_001.fastq.gz	M4D1_S93_L001_R2_001.fastq.gz	M4D1	Male	Early	D001	1	iMAPcasestudySet
M4D002	NA	NA	NA	M4D2_S94_L001_R1_001.fastq.gz	M4D2_S94_L001_R2_001.fastq.gz	M4D2	Male	Early	D002	2	iMAPcasestudySet
M4D003	NA	NA	NA	M4D3_S95_L001_R1_001.fastq.gz	M4D3_S95_L001_R2_001.fastq.gz	M4D3	Male	Early	D003	3	iMAPcasestudySet
M4D004	NA	NA	NA	M4D4_S96_L001_R1_001.fastq.gz	M4D4_S96_L001_R2_001.fastq.gz	M4D4	Male	Early	D004	4	iMAPcasestudySet
M4D005	NA	NA	NA	M4D5_S97_L001_R1_001.fastq.gz	M4D5_S97_L001_R2_001.fastq.gz	M4D5	Male	Early	D005	5	iMAPcasestudySet
M4D006	NA	NA	NA	M4D6_S98_L001_R1_001.fastq.gz	M4D6_S98_L001_R2_001.fastq.gz	M4D6	Male	Early	D006	6	iMAPcasestudySet
M4D007	NA	NA	NA	M4D7_S99_L001_R1_001.fastq.gz	M4D7_S99_L001_R2_001.fastq.gz	M4D7	Male	Early	D007	7	iMAPcasestudySet
M4D008	NA	NA	NA	M4D8_S100_L001_R1_001.fastq.gz	M4D8_S100_L001_R2_001.fastq.gz	M4D8	Male	Early	D008	8	iMAPcasestudySet
M4D009	NA	NA	NA	M4D9_S101_L001_R1_001.fastq.gz	M4D9_S101_L001_R2_001.fastq.gz	M4D9	Male	Early	D009	9	iMAPcasestudySet
M4D011	NA	NA	NA	M4D11_S102_L001_R1_001.fastq.gz	M4D11_S102_L001_R2_001.fastq.gz	M4D11	Male	Early	D011	11	iMAPcasestudySet
M4D013	NA	NA	NA	M4D13_S103_L001_R1_001.fastq.gz	M4D13_S103_L001_R2_001.fastq.gz	M4D13	Male	Early	D013	13	iMAPcasestudySet
M4D015	NA	NA	NA	M4D15_S104_L001_R1_001.fastq.gz	M4D15_S104_L001_R2_001.fastq.gz	M4D15	Male	Early	D015	15	iMAPcasestudySet
M4D017	NA	NA	NA	M4D17_S105_L001_R1_001.fastq.gz	M4D17_S105_L001_R2_001.fastq.gz	M4D17	Male	Early	D017	17	iMAPcasestudySet
M4D019	NA	NA	NA	M4D19_S106_L001_R1_001.fastq.gz	M4D19_S106_L001_R2_001.fastq.gz	M4D19	Male	Early	D019	19	iMAPcasestudySet
